Country Name,Country Code,Population 2020
Slovenia,SVN,2100126
Small states,SST,41913035
Solomon Islands,SLB,686878
Somalia,SOM,15893219
South Africa,ZAF,59308690
South Asia,SAS,1856882402
South Asia (IDA & IBRD),TSA,1856882402
South Sudan,SSD,11193729
Spain,ESP,47351567
Sri Lanka,LKA,21919000
St. Kitts and Nevis,KNA,53192
St. Lucia,LCA,183629
St. Martin (French part),MAF,38659
St. Vincent and the Grenadines,VCT,110947
Sub-Saharan Africa,SSF,1136046775
Sub-Saharan Africa (excluding high income),SSA,1135948313
Sub-Saharan Africa (IDA & IBRD countries),TSS,1136046775
Sudan,SDN,43849269
Suriname,SUR,586634
Sweden,SWE,10353442
Switzerland,CHE,8636896
Syrian Arab Republic,SYR,17500657
Tajikistan,TJK,9537642
Tanzania,TZA,59734213
Thailand,THA,69799978
Timor-Leste,TLS,1318442
Togo,TGO,8278737
Tonga,TON,105697
Trinidad and Tobago,TTO,1399491
Tunisia,TUN,11818618
Turkey,TUR,84339067
Turkmenistan,TKM,6031187
Turks and Caicos Islands,TCA,38718
Tuvalu,TUV,11792
Uganda,UGA,45741000
Ukraine,UKR,44134693
United Arab Emirates,ARE,9890400
United Kingdom,GBR,67215293
United States,USA,329484123
Upper middle income,UMC,2513672792
Uruguay,URY,3473727
Uzbekistan,UZB,34232050
Vanuatu,VUT,307150
"Venezuela, RB",VEN,28435943
Vietnam,VNM,97338583
Virgin Islands (U.S.),VIR,106290
West Bank and Gaza,PSE,4803269
World,WLD,7752840547
"Yemen, Rep.",YEM,29825968
Zambia,ZMB,18383956
Zimbabwe,ZWE,14862927
,,,,
,,,,
,,,,
Data from database: Population estimates and projections,,,,
Last Updated: 09/15/2021,,,,
